"filename", "language", "Batch", "C", "C++", "Shell Script", "Makefile", "CMake", "LinkerScript", "JSON", "TypeScript", "CMake Cache", "Log", "comment", "blank", "total"
"d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\kernel.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\kernel.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\kernel.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\OS\diy-x86os-master\start\start\build\source\kernel\Makefile", "Makefile", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 66, 85, 354
"d:\OS\diy-x86os-master\start\start\build\source\kernel\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\loader.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 33
"d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\loader.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\loader.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
