Date : 2023-09-24 22:18:18
Directory : d:\OS\diy-x86os-master\start\start
Total : 75 files,  6158 codes, 356 comments, 875 blanks, all 7389 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\OS\diy-x86os-master\start\start\build\CMakeFiles\3.23.1\CompilerIdC\CMakeCCompilerId.c                            | C            |        633 |         61 |        135 |        829 |
| d:\OS\diy-x86os-master\start\start\build\CMakeFiles\CMakeDirectoryInformation.cmake                                  | CMake        |         12 |          0 |          5 |         17 |
| d:\OS\diy-x86os-master\start\start\build\CMakeFiles\CMakeError.log                                                   | Log          |         60 |          0 |         60 |        120 |
| d:\OS\diy-x86os-master\start\start\build\CMakeFiles\CMakeOutput.log                                                  | Log          |         26 |          0 |         21 |         47 |
| d:\OS\diy-x86os-master\start\start\build\CMakeFiles\Makefile.cmake                                                   | CMake        |        121 |          0 |          6 |        127 |
| d:\OS\diy-x86os-master\start\start\build\Makefile                                                                    | Makefile     |         83 |         53 |         47 |        183 |
| d:\OS\diy-x86os-master\start\start\build\cmake_install.cmake                                                         | CMake        |         48 |          0 |         10 |         58 |
| d:\OS\diy-x86os-master\start\start\build\compile_commands.json                                                       | JSON         |         67 |          0 |          0 |         67 |
| d:\OS\diy-x86os-master\start\start\build\source\boot\CMakeFiles\CMakeDirectoryInformation.cmake                      | CMake        |         12 |          0 |          5 |         17 |
| d:\OS\diy-x86os-master\start\start\build\source\boot\CMakeFiles\boot.dir\DependInfo.cmake                            | CMake        |         25 |          0 |          7 |         32 |
| d:\OS\diy-x86os-master\start\start\build\source\boot\CMakeFiles\boot.dir\cmake_clean.cmake                           | CMake        |         13 |          0 |          2 |         15 |
| d:\OS\diy-x86os-master\start\start\build\source\boot\CMakeFiles\boot.dir\compiler_depend.ts                          | TypeScript   |          2 |          0 |          1 |          3 |
| d:\OS\diy-x86os-master\start\start\build\source\boot\Makefile                                                        | Makefile     |         95 |         48 |         49 |        192 |
| d:\OS\diy-x86os-master\start\start\build\source\boot\cmake_install.cmake                                             | CMake        |         33 |          0 |          7 |         40 |
| d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\CMakeDirectoryInformation.cmake                    | CMake        |         12 |          0 |          5 |         17 |
| d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\kernel.dir\DependInfo.cmake                        | CMake        |         31 |          0 |          7 |         38 |
| d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\kernel.dir\cmake_clean.cmake                       | CMake        |         25 |          0 |          2 |         27 |
| d:\OS\diy-x86os-master\start\start\build\source\kernel\CMakeFiles\kernel.dir\compiler_depend.ts                      | TypeScript   |          2 |          0 |          1 |          3 |
| d:\OS\diy-x86os-master\start\start\build\source\kernel\Makefile                                                      | Makefile     |        203 |         66 |         85 |        354 |
| d:\OS\diy-x86os-master\start\start\build\source\kernel\cmake_install.cmake                                           | CMake        |         33 |          0 |          7 |         40 |
| d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\CMakeDirectoryInformation.cmake                    | CMake        |         12 |          0 |          5 |         17 |
| d:\OS\diy-x86os-master\start\start\build\source\loader\CMakeFiles\loader.dir\DependInfo.cmake                        | CMake        |         26 |          0 |          7 |         33 |
